<shipment>.  (a box), - bunch of pieces,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,XML Field,Type,CBS Storage,Classify Storage,Notes,,,,,,,,,,,,,,,,,,,,
,LOCAL_PIECE_OID_NBR,long,PIECE.OID_NBR,PIECE.LOCAL_PIECE_OID_NBR,PK,,,,,,,,,,,,,,,,,,,,
,LOCAL_SHIPMENT_OID_NBR,long,PIECE.SHIPMENT_OID_NBR,PIECE.LOCAL_SHIPMENT_OID_NBR,FK,,,,,,,,,,,,,,,,,,,,
,ARRIVAL_PORT_CD,string,PIECE.ARRIVAL_PORT_CD,,"Data only in cbs, not in classify",,,,,,,,,,,,,,,,,,,,
,AWB_TYPE_CD,string,PIECE.AWB_TYPE_CD,PIECE.AWB_TYPE_CD,,,,,,,,,,,,,,,,,,,,,
,AWB_FORMAT_CD,string,PIECE.AWB_FORMAT_CD,,no data in both DB,,,,,,,,,,,,,,,,,,,,
,CONTRACT_WGT_TYPE_CD,string,PIECE.CONTRACT_WGT_TYPE_CD,PIECE.CONTRACT_WGT_TYPE_CD,,,,,,,,,,,,,,,,,,,,,
,CUSTOMS_VALUE_AMT,double,PIECE.CUSTOMS_VALUE_AMT,PIECE.CUSTOMS_VALUE_AMT,no data in both DB,,,,,,,,,,,,,,,,,,,,
,DECLN_OID_NBR,long,PIECE.DECLN_OID_NBR,,no data in both DB,,,,,,,,,,,,,,,,,,,,
,DECLN_STATUS_CD,string,PIECE.DECLN_STATUS_CD,,no data in both DB,,,,,,,,,,,,,,,,,,,,
,DEST_LOCATION_CD,string,PIECE.DEST_LOCATION_CD,PIECE.DEST_LOCATION_CD,,,,,,,,,,,,,,,,,,,,,
,DIM_WGT,double,PIECE.DIM_WGT,PIECE.DIM_WGT,,,,,,,,,,,,,,,,,,,,,
,FINAL_DEST_CD,string,PIECE.FINAL_DEST_CD,PIECE.FINAL_DEST_CD,,,,,,,,,,,,,,,,,,,,,
